State,District,Latitude,Longitude,District code,Population,Households_with_Internet,literacy_rate,sex_ratio,Percentage of Poor
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481.0,2880365.0,7297.0,66.0,933.0,0.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122.0,2408523.0,6207.0,52.0,973.0,0.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420.0,1703005.0,1166.0,64.0,837.0,0.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81.0,1634445.0,5292.0,65.0,886.0,4.726457
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231.0,2728407.0,3661.0,59.0,907.0,0.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444.0,2371061.0,40788.0,70.0,918.0,0.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523.0,2585049.0,5614.0,66.0,916.0,0.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558.0,1703300.0,3971.0,61.0,956.0,0.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417.0,255230.0,117.0,34.0,984.0,0.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557.0,2177331.0,4987.0,57.0,960.0,0.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134.0,3682713.0,7303.0,58.0,917.0,0.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101.0,2363937.0,7607.0,54.0,905.0,0.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30.0,381956.0,1574.0,75.0,981.0,0.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406.0,2663629.0,8566.0,60.0,971.0,0.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30.0,381956.0,1574.0,75.0,981.0,0.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406.0,2663629.0,8566.0,60.0,971.0,0.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334.0,3502404.0,5210.0,62.0,956.0,16.636083
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275.0,237399.0,676.0,66.0,999.0,0.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355.0,2062330.0,9754.0,62.0,922.0,0.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319.0,738804.0,2523.0,59.0,966.0,0.0
0,Budaun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.738533
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142.0,3499171.0,7865.0,58.0,896.0,0.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500.0,2586258.0,4767.0,73.0,934.0,0.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121.0,1110906.0,1392.0,53.0,925.0,0.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467.0,757847.0,986.0,54.0,951.0,0.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232.0,1706352.0,1784.0,58.0,922.0,0.0
Assam,Cachar,24.815570668693017,92.86849650455927,316.0,1736617.0,5316.0,68.0,959.0,22.358594
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23.0,519080.0,1615.0,62.0,986.0,4.162599
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57.0,391605.0,899.0,72.0,1019.0,0.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65.0,259648.0,548.0,68.0,980.0,9.980288
Mizoram,Champhai,23.54166580976866,93.24221799485862,284.0,125745.0,186.0,80.0,984.0,3.175642
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196.0,1952756.0,3492.0,60.0,918.0,0.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280.0,144182.0,184.0,63.0,933.0,10.719104
Chandigarh,Chandigarh,30.7426,76.75872465753424,55.0,1055450.0,44283.0,76.0,818.0,0.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509.0,2204307.0,8239.0,72.0,961.0,0.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253.0,148226.0,170.0,49.0,926.0,12.919264
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347.0,1042886.0,590.0,49.0,953.0,27.982769
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603.0,4646732.0,217368.0,81.0,989.0,0.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425.0,1762375.0,1880.0,54.0,883.0,0.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455.0,2090922.0,3588.0,62.0,964.0,0.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570.0,1137961.0,4510.0,72.0,1008.0,0.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566.0,1659456.0,5711.0,66.0,974.0,0.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171.0,991730.0,827.0,54.0,879.0,0.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126.0,1544338.0,4941.0,53.0,972.0,0.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554.0,4174064.0,13763.0,64.0,997.0,0.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274.0,274143.0,837.0,71.0,975.0,9.371423
Rajasthan,Churu,28.29330375536484,74.65846427038629,102.0,2039547.0,2577.0,56.0,940.0,0.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632.0,3458045.0,63273.0,76.0,1000.0,0.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617.0,2605914.0,15396.0,70.0,987.0,0.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381.0,2624470.0,15046.0,77.0,940.0,0.0
0,Dakshin Bastar Dantewada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.26211
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331.0,1676276.0,2518.0,65.0,956.0,0.0
Daman and Diu,Daman,20.43161666666668,72.8392366071429,495.0,191173.0,1316.0,79.0,534.0,0.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428.0,1264219.0,1432.0,59.0,910.0,0.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215.0,3937385.0,6280.0,46.0,911.0,0.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327.0,1846823.0,10943.0,71.0,970.0,0.0
Assam,Darrang,26.58463215962442,92.04141338028155,325.0,928500.0,1166.0,52.0,954.0,0.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422.0,786754.0,616.0,62.0,873.0,0.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109.0,1634409.0,1719.0,57.0,905.0,0.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567.0,1945497.0,7320.0,67.0,972.0,0.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350.0,1492073.0,1944.0,53.0,925.0,0.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190.0,3100946.0,4469.0,60.0,1017.0,0.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437.0,1563715.0,3518.0,59.0,942.0,0.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291.0,378230.0,273.0,73.0,944.0,0.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412.0,799781.0,1016.0,68.0,1010.0,0.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354.0,2684487.0,11568.0,64.0,909.0,0.0
Madhya Pradesh,Dhar,22.57268171896316,75.1105620736698,438.0,2185793.0,2388.0,49.0,964.0,0.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630.0,1506843.0,3651.0,61.0,946.0,0.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562.0,1847023.0,15013.0,70.0,971.0,0.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106.0,1206516.0,1330.0,57.0,846.0,0.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308.0,686133.0,1192.0,62.0,953.0,0.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383.0,1192811.0,1810.0,70.0,947.0,0.0
0,Dhubri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.239511
Maharashtra,Dhule,21.27401869040052,74.58719071837263,498.0,2050862.0,6065.0,63.0,946.0,16.750633
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310.0,1326335.0,8817.0,67.0,961.0,0.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265.0,378811.0,3303.0,73.0,919.0,0.0
